orders
order_ID,employee_ID,customer_ID,total_price,order_date
'6258ec12-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec13-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ec14-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec15-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec16-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec17-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec18-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec19-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec1a-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec1b-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec1c-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec1d-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec1e-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec1f-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec20-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec21-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec22-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec23-4436-11ed-97a8-698b2ad48b41',10.47,'2022-10-3'
'6258ec24-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec25-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec26-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec27-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec28-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec29-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec2a-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec2b-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec2c-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec2d-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec2e-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec2f-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec30-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec31-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec32-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec33-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ec34-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec35-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ec36-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec37-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec38-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec39-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec3a-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec3b-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec3c-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec3d-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec3e-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec3f-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec40-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec41-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec42-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec43-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ec44-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec45-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec46-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec47-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec48-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec49-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec4a-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec4b-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec4c-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec4d-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec4e-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec4f-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec50-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec51-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec52-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec53-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec54-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec55-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec56-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec57-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec58-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec59-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec5a-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec5b-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec5c-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec5d-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec5e-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec5f-4436-11ed-97a8-698b2ad48b41',10.47,'2022-10-3'
'6258ec60-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec61-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec62-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec63-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec64-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec65-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec66-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec67-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec68-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec69-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec6a-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec6b-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec6c-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec6d-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec6e-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec6f-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec70-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec71-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec72-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec73-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec74-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec75-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec76-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec77-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec78-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec79-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec7a-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec7b-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec7c-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec7d-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec7e-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec7f-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec80-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec81-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec82-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec83-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec84-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec85-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec86-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec87-4436-11ed-97a8-698b2ad48b41',10.47,'2022-10-3'
'6258ec88-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec89-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec8a-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec8b-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ec8c-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec8d-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec8e-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec8f-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec90-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec91-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec92-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec93-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec94-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec95-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec96-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec97-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec98-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ec99-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec9a-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ec9b-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ec9c-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec9d-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ec9e-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ec9f-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258eca0-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258eca1-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258eca2-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258eca3-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258eca4-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258eca5-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258eca6-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258eca7-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258eca8-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258eca9-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecaa-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ecab-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ecac-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecad-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecae-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecaf-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ecb0-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecb1-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecb2-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecb3-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecb4-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecb5-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ecb6-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecb7-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ecb8-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecb9-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecba-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecbb-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecbc-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecbd-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecbe-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ecbf-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecc0-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecc1-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ecc2-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecc3-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecc4-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecc5-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecc6-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecc7-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ecc8-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecc9-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ecca-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258eccb-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258eccc-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258eccd-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecce-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258eccf-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ecd0-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ecd1-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecd2-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecd3-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecd4-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecd5-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecd6-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecd7-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecd8-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ecd9-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ecda-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecdb-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ecdc-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecdd-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecde-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecdf-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ece0-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ece1-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ece2-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ece3-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ece4-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ece5-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ece6-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ece7-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ece8-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ece9-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecea-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258eceb-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecec-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258eced-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecee-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecef-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
'6258ecf0-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ecf1-4436-11ed-97a8-698b2ad48b41',10.08,'2022-10-3'
'6258ecf2-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecf3-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecf4-4436-11ed-97a8-698b2ad48b41','6258ebd5-4436-11ed-97a8-698b2ad48b41','6258ecf5-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecf6-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecf7-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecf8-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecf9-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecfa-4436-11ed-97a8-698b2ad48b41','6258ebd4-4436-11ed-97a8-698b2ad48b41','6258ecfb-4436-11ed-97a8-698b2ad48b41',8.09,'2022-10-3'
'6258ecfc-4436-11ed-97a8-698b2ad48b41','6258ebd3-4436-11ed-97a8-698b2ad48b41','6258ecfd-4436-11ed-97a8-698b2ad48b41',8.48,'2022-10-3'
