shipment_product
shipment_ID,product_ID,ship_quantity,expiration_date
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebbb-4436-11ed-97a8-698b2ad48b41',2700,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebbc-4436-11ed-97a8-698b2ad48b41',2400,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebbd-4436-11ed-97a8-698b2ad48b41',2400,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebbe-4436-11ed-97a8-698b2ad48b41',2400,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebbf-4436-11ed-97a8-698b2ad48b41',600.0,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc0-4436-11ed-97a8-698b2ad48b41',600.0,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc1-4436-11ed-97a8-698b2ad48b41',600.0,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc2-4436-11ed-97a8-698b2ad48b41',600.0,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc3-4436-11ed-97a8-698b2ad48b41',600.0,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc4-4436-11ed-97a8-698b2ad48b41',600.0,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc5-4436-11ed-97a8-698b2ad48b41',600.0,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc6-4436-11ed-97a8-698b2ad48b41',600.0,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc7-4436-11ed-97a8-698b2ad48b41',600.0,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc8-4436-11ed-97a8-698b2ad48b41',1500,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebc9-4436-11ed-97a8-698b2ad48b41',1500,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebca-4436-11ed-97a8-698b2ad48b41',1500,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebcb-4436-11ed-97a8-698b2ad48b41',1500,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebcc-4436-11ed-97a8-698b2ad48b41',1500,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebcd-4436-11ed-97a8-698b2ad48b41',1500,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebce-4436-11ed-97a8-698b2ad48b41',1800,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebcf-4436-11ed-97a8-698b2ad48b41',200,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebd0-4436-11ed-97a8-698b2ad48b41',200,'2022-10-31 00:00:00'
'62a57444-4436-11ed-97a8-698b2ad48b41','6258ebd1-4436-11ed-97a8-698b2ad48b41',200,'2022-10-31 00:00:00'
